"course_code","title","description","skills"
"CSC 859","AI Explainability and Ethics","Overview of AI and GenAI technologies, their usage (including prompt engineering), and methods for their accuracy evaluations and optimization. Analysis of AI/GenAI limitations like hallucinations, bias, and errors. Overview of AI/GenAI explainability. Definitions, best practices and tools for auditing AI/GenAI for ethics and trustworthiness. Implementation of full AI pipeline and trustworthiness audit of selected AI application. (Plus-minus letter grade RP only)","[(Explainable AI, 18), (AI Ethics, 18), (Prompt Engineering, 16), (Model Evaluation, 16), (Trustworthy AI, 14), (Retrieval-Augmented Generation, 10), (Fine-Tuning, 8)]"
"CSC 864","Multimedia Systems","Comprehensive topics in multimedia such as basics of image and video processing, compression, multimedia databases, standard, synchronization, formats in the perspective of systems, and algorithms. Extra fee required. (Plus-minus letter grade only)","[(Multimedia Systems, 30), (Image and Video Processing, 25), (Compression, 20), (Multimedia Databases, 15), (Synchronization, 10)]"
"CSC 865","Artificial Intelligence","Overview of algorithms and approaches to artificial intelligence. Study of fundamental concepts needed to attain human-level intelligence in computer systems, and gain experience in working with these concepts through assignments and programming exercises. Topics include problem-solving methods, heuristic search, game playing, agent architectures, machine learning, and various topics selected from knowledge representation, symbolic reasoning, computational models of virtual humans, neural networks, and genetic algorithms. Extra fee required.","[(Artificial Intelligence, 20), (Search Algorithms, 16), (Knowledge Representation, 16), (Machine Learning, 14), (Game Playing, 12), (Intelligent Agents, 12), (Neural Networks, 10)]"
"CSC 867","Internet Application Design and Development","Fundamental technologies on which the World Wide Web is based. Extra fee required.","[(HTTP APIs, 18), (Node.js, 16), (JavaScript, 16), (HTML/CSS, 14), (PostgreSQL, 14), (Client-Server Architecture, 12), (Express, 10)]"
"CSC 868","Advanced Object Oriented Software Design and Development","Object-oriented analysis and design utilizing UML, design patterns, frameworks, and toolkits. Agile software design processes. Development of a mid-size programming project working in teams. Extra fee required. (Plus-minus letter grade only)","[(Object-Oriented Design, 30), (UML, 15), (Design Patterns, 20), (Frameworks, 15), (Agile Development, 20)]"
"CSC 869","Data Mining","Knowledge discovery process, basic data mining concepts, key mining algorithms, and data mining in practical domains such as bioinformatics. (Plus-minus letter grade only)","[(Data Mining, 45), (Knowledge Discovery, 25), (Mining Algorithms, 20), (Bioinformatics, 10)]"
"CSC 871","Deep Learning","Exploration of the major technology trends that drive Deep Learning. Discussion of concepts and technologies to build, train, and apply fully connected deep neural networks. Focus on understanding the key parameters in a neural network's architecture and learning how Deep Learning actually works. (Plus-minus letter grade only)","[(Deep Learning, 20), (PyTorch, 16), (Neural Networks, 16), (Convolutional Neural Networks, 14), (Transformers, 14), (Recurrent Neural Networks, 10), (Model Training, 10)]"
"CSC 872","Pattern Analysis and Machine Intelligence","Foundation of pattern analysis and machine intelligence. Artificial intelligence: agent, logic, and search. Machine learning: Bayesian classification. Neural network: simulated annealing. Imaging: image segmentation and object recognition. (Plus-minus letter grade only)","[(Pattern Recognition, 18), (Machine Learning, 16), (Statistical Modeling, 16), (Bayesian Methods, 14), (Classification, 12), (Dimensionality Reduction, 12), (Neural Networks, 12)]"
"CSC 874","Topics in Big Data Analysis","Introduction to current topics in data sciences and big data analysis. (Plus-minus letter grade only)","[(Big Data Analysis, 60), (Data Science, 40)]"
"CSC 876","Soft Computing and Decision Support Systems","Development of software systems for decision support including applications of soft computing. Topics include fuzzy sets, fuzzy logic, fuzzy systems, fuzzy decision-making, fuzzy controllers, approximate reasoning, possibility theory, rough sets, graded evaluation logic, logic aggregation operators, information fusion models, decision engineering methods, computing with words, perceptual computing, granular computing, and the LSP method for evaluation and optimization of complex systems. (Plus-minus letter grade only)","[(Soft Computing, 18), (Fuzzy Logic, 18), (Decision Support Systems, 16), (Computational Intelligence, 16), (Approximate Reasoning, 12), (Information Fusion, 10), (Neural Networks, 10)]"
"CSC 878","Big Data Platforms and Systems","Examination of Big Data's main characteristics. Introduction of and experimentation with common platforms and systems of the Big Data ecosystem on premises or in the cloud. Application of Big Data management systems such as NoSQL databases. Utilization of mainstream Big Data platforms such as Apache Hadoop and Apache Spark to address real-world big data problems. (Plus-minus letter grade only)","[(Big Data Platforms, 30), (NoSQL, 20), (Apache Hadoop, 20), (Apache Spark, 20), (Cloud Computing, 10)]"
"CSC 890","Graduate Seminar","Explore a variety of current advanced research trends in Computer Science. Topics to be specified in the Class Schedule. May be repeated for a total of 6 units when topics vary. (Plus-minus letter grade only) Topics include: Selected Topics in Computing for Life Science; Health Informatics; Advanced Information Security and Privacy; Advanced Artificial Intelligence; Data Visualization; Big Data and Cybersecurity; Special Topics in Technology and Society; Software Engineering and Industry Practices; Quantum Computing; Technical Entrepreneurship; Machine Learning for Cybersecurity.","[(Advanced Computer Science Topics, 100)]"
"CSC 893","Supervised Industrial Research","Supervised computer science employment in software research and development. Objectives are career development and occupational experience. May be repeated for a total of 3 units. Subsequently, may be repeated on a CR/NC basis. Must be approved by a graduate adviser. (Plus-minus letter grade, CR/NC, RP)","[(Software R&D, 60), (Applied Research, 40)]"
"CSC 895","Applied Research Project","(CR/NC grading only)","[(Applied Research, 50), (Software / Systems Project, 50)]"
"CSC 897","Research","Independent and original investigation under the supervision of a faculty member. May be repeated for a total of 6 units. (Plus-minus letter grade, CR/NC, RP)","[(Research Methods, 50), (Independent Investigation, 50)]"
"CSC 898","Master's Thesis","(CR/NC grading only)","[(Graduate Research, 60), (Thesis Work, 40)]"
"CSC 899","Independent Study","Special study of a particular problem under the direction of a faculty member. A written, detailed report of the work accomplished must be submitted to the staff of the department. May be repeated for a total of 6 units. (AB/NC only)","[(Independent Study, 50), (Specialized Research / Development, 50)]"
